name	chr_name	hg19_start	hg19_end	DLBCL_total	DLBCL_mut	DLBCL_pc	FL_total	FL_mut	FL_pc	CLL_total	CLL_mut	CLL_pc	BL_total	BL_mut	BL_pc
IL4R_TSS	chr16	27322895	27329423	610	126	20.66	463	104	22.46	213	3	1.41	259	9	3.47
IRF8_TSS	chr16	85931918	85933977	610	176	28.85	463	108	23.33	213	8	3.76	259	23	8.88
P2RX5_TSS	chr17	3597616	3599572	610	39	6.39	463	10	2.16	213	0	0	259	3	1.16
IKZF3_TSS-1	chr17	37928959	37940119	610	93	15.25	463	29	6.26	213	4	1.88	259	20	7.72
IKZF3_TSS-2	chr17	38015776	38024832	610	71	11.64	463	23	4.97	213	4	1.88	259	14	5.41
TSPOAP1_intergenic	chr17	56407732	56410140	610	261	42.79	463	137	29.59	213	7	3.29	259	71	27.41
SEPTIN9_intron-1	chr17	75424734	75440956	610	46	7.54	463	12	2.59	213	5	2.35	259	15	5.79
SEPTIN9_intron-2	chr17	75443766	75451177	610	96	15.74	463	24	5.18	213	2	0.94	259	17	6.56
SEPTIN9_intron-3	chr17	75453203	75471471	610	53	8.69	463	16	3.46	213	4	1.88	259	22	8.49
ACTG1_intron	chr17	79478289	79479959	610	54	8.85	463	23	4.97	213	0	0	259	9	3.47
BCL2_intron	chr18	60796984	60814103	610	141	23.11	463	148	31.97	213	2	0.94	259	17	6.56
BCL2_TSS	chr18	60982728	60988342	610	256	41.97	463	377	81.43	213	8	3.76	259	9	3.47
S1PR2_TSS	chr19	10340142	10341764	610	135	22.13	463	72	15.55	213	8	3.76	259	26	10.04
KLF2_TSS	chr19	16434978	16439011	610	78	12.79	463	25	5.4	213	2	0.94	259	8	3.09
MEF2B_TSS	chr19	19279635	19281441	610	49	8.03	463	12	2.59	213	1	0.47	259	8	3.09
NCOA3_TSS	chr20	46128611	46138099	610	104	17.05	463	50	10.8	213	3	1.41	259	16	6.18
PTPN1_TSS	chr20	49120482	49140477	610	95	15.57	463	28	6.05	213	2	0.94	259	24	9.27
MIR155HG_TSS	chr21	26934372	26937651	610	65	10.66	463	17	3.67	213	1	0.47	259	10	3.86
IGLL5_TSS	chr22	23229554	23232042	610	434	71.15	463	319	68.9	213	61	28.64	259	184	71.04
BCR_TSS	chr22	23522060	23528313	610	50	8.2	463	36	7.78	213	1	0.47	259	25	9.65
XBP1_TSS	chr22	29194943	29197461	610	76	12.46	463	50	10.8	213	0	0	259	8	3.09
TMSB4X_intron	chrX	12993308	12994511	610	225	36.89	463	106	22.89	213	5	2.35	259	30	11.58
DDX3X_intergenic	chrX	42800580	42804184	610	96	15.74	463	39	8.42	213	2	0.94	259	7	2.7
PIM2_TSS	chrX	48774756	48776255	610	79	12.95	463	4	0.86	213	3	1.41	259	5	1.93
